Classifier,Macro F1,Macro Recall,Macro Precision,Class0 Recall,Class1 Recall,Class2 Recall,Class0 Precision,Class1 Precision,Class2 Precision,Class0 F1,Class1 F1,Class2 F1,TrainParticipants,TestParticipants,TrainConditions,TestConditions,Experiment,RandomState,WindowDuration,WindowStepSize,BatchSize,LearningRate,HiddenDim,Epochs
LSTM,0.5291126366641241,0.5289089994972348,0.5385220125786163,0.5098039215686274,0.4807692307692308,0.5961538461538461,0.49056603773584906,0.625,0.5,0.5,0.5434782608695652,0.543859649122807,"[2, 5, 6, 9, 10, 11, 13, 15, 16, 17, 18, 19, 20, 24]","[2, 5, 6, 9, 10, 11, 13, 15, 16, 17, 18, 19, 20, 24]",RW,RW,5,42,7.5,10,64,0.001,,29
LSTM,0.48288591745772513,0.48353443941679236,0.48504387262151233,0.43137254901960786,0.5384615384615384,0.4807692307692308,0.4782608695652174,0.4666666666666667,0.5102040816326531,0.4536082474226804,0.5,0.49504950495049505,"[2, 5, 6, 9, 10, 11, 13, 15, 16, 17, 18, 19, 20, 24]","[2, 5, 6, 9, 10, 11, 13, 15, 16, 17, 18, 19, 20, 24]",RW,RW,5,12,7.5,10,64,0.001,,29
LSTM,0.558330490494581,0.5615887380593262,0.5607006020799125,0.4423076923076923,0.6078431372549019,0.6346153846153846,0.5476190476190477,0.5344827586206896,0.6,0.48936170212765956,0.5688073394495413,0.616822429906542,"[2, 5, 6, 9, 10, 11, 13, 15, 16, 17, 18, 19, 20, 24]","[2, 5, 6, 9, 10, 11, 13, 15, 16, 17, 18, 19, 20, 24]",RW,RW,5,100,7.5,10,64,0.001,,29
LSTM,0.5481763187762421,0.548139768728004,0.5495730249353438,0.5192307692307693,0.6153846153846154,0.5098039215686274,0.4909090909090909,0.5925925925925926,0.5652173913043478,0.5046728971962616,0.6037735849056604,0.5360824742268041,"[2, 5, 6, 9, 10, 11, 13, 15, 16, 17, 18, 19, 20, 24]","[2, 5, 6, 9, 10, 11, 13, 15, 16, 17, 18, 19, 20, 24]",RW,RW,5,72,7.5,10,64,0.001,,29
LSTM,0.6005845925493345,0.6000502765208647,0.6068574836016697,0.5576923076923077,0.6078431372549019,0.6346153846153846,0.6744186046511628,0.5961538461538461,0.55,0.6105263157894737,0.6019417475728155,0.5892857142857143,"[2, 5, 6, 9, 10, 11, 13, 15, 16, 17, 18, 19, 20, 24]","[2, 5, 6, 9, 10, 11, 13, 15, 16, 17, 18, 19, 20, 24]",RW,RW,5,92,7.5,10,64,0.001,,29
CNN,0.6596500545767819,0.660377358490566,0.6657069029162052,0.5849056603773585,0.7169811320754716,0.6792452830188679,0.7209302325581395,0.6333333333333333,0.6428571428571429,0.6458333333333334,0.672566371681416,0.6605504587155964,"[2, 5, 6, 9, 10, 11, 13, 15, 16, 17, 18, 19, 20, 24]","[2, 5, 6, 9, 10, 11, 13, 15, 16, 17, 18, 19, 20, 24]",RW,RW,5,100,6.5,10,64,0.001,,15
CNN,0.6543620831190857,0.6540880503144654,0.6615540789959394,0.6415094339622641,0.6037735849056604,0.7169811320754716,0.6071428571428571,0.7441860465116279,0.6333333333333333,0.6238532110091743,0.6666666666666666,0.672566371681416,"[2, 5, 6, 9, 10, 11, 13, 15, 16, 17, 18, 19, 20, 24]","[2, 5, 6, 9, 10, 11, 13, 15, 16, 17, 18, 19, 20, 24]",RW,RW,5,42,6.5,10,64,0.001,,15
CNN,0.5904387054343948,0.5911949685534591,0.5903054806828392,0.6037735849056604,0.6415094339622641,0.5283018867924528,0.6037735849056604,0.6071428571428571,0.56,0.6037735849056604,0.6238532110091743,0.5436893203883495,"[2, 5, 6, 9, 10, 11, 13, 15, 16, 17, 18, 19, 20, 24]","[2, 5, 6, 9, 10, 11, 13, 15, 16, 17, 18, 19, 20, 24]",RW,RW,5,82,6.5,10,64,0.001,,15
CNN,0.6358517443423105,0.6352201257861635,0.6367986188185966,0.5849056603773585,0.6226415094339622,0.6981132075471698,0.5849056603773585,0.6,0.7254901960784313,0.5849056603773585,0.6111111111111112,0.7115384615384616,"[2, 5, 6, 9, 10, 11, 13, 15, 16, 17, 18, 19, 20, 24]","[2, 5, 6, 9, 10, 11, 13, 15, 16, 17, 18, 19, 20, 24]",RW,RW,5,72,6.5,10,64,0.001,,15
LSTM,0.6321635353893419,0.6410256410256411,0.6588319088319089,0.46153846153846156,0.8461538461538461,0.6153846153846154,0.75,0.6111111111111112,0.6153846153846154,0.5714285714285714,0.7096774193548387,0.6153846153846154,"[2, 5, 7, 8, 9, 11, 13, 14, 15, 18, 19, 20, 21, 23]","[2, 5, 7, 8, 9, 11, 13, 14, 15, 18, 19, 20, 21, 23]",FW,FW,1,92,1.0,5,64,0.001,,40
