Classifier,Macro F1,Macro Recall,Macro Precision,Class0 Recall,Class1 Recall,Class2 Recall,Class0 Precision,Class1 Precision,Class2 Precision,Class0 F1,Class1 F1,Class2 F1,TrainParticipants,TestParticipants,TrainConditions,TestConditions,Experiment,RandomState,WindowDuration,WindowStepSize,BatchSize,LearningRate,HiddenDim,Epochs
CNN,0.05674119241192412,0.3374485596707819,0.3595505617977528,0.012345679012345678,0.0,1.0,1.0,0.0,0.07865168539325842,0.024390243902439022,0.0,0.14583333333333334,"[2, 5, 7, 8, 9, 11, 13, 14, 15, 18, 19, 20, 21, 23]",13,FW,FW,1,100,7.0,10,64,0.001,,10
CNN,0.30828516377649323,0.31746031746031744,0.299625468164794,0.9523809523809523,0.0,0.0,0.898876404494382,0.0,0.0,0.9248554913294796,0.0,0.0,"[2, 5, 7, 8, 9, 11, 13, 14, 15, 18, 19, 20, 21, 23]",14,FW,FW,1,100,7.0,10,64,0.001,,10
CNN,0.26763990267639903,0.22633744855967078,0.3273809523809524,0.6790123456790124,0.0,0.0,0.9821428571428571,0.0,0.0,0.8029197080291971,0.0,0.0,"[2, 5, 7, 8, 9, 11, 13, 14, 15, 18, 19, 20, 21, 23]",15,FW,FW,1,100,7.0,10,64,0.001,,10
CNN,0.07555555555555556,0.3448275862068966,0.36231884057971014,0.034482758620689655,0.0,1.0,1.0,0.0,0.08695652173913043,0.06666666666666667,0.0,0.16,"[2, 5, 7, 8, 9, 11, 13, 14, 15, 18, 19, 20, 21, 23]",18,FW,FW,1,100,7.0,10,64,0.001,,10
CNN,0.2768595041322314,0.33730158730158727,0.3127413127413127,0.5833333333333334,0.42857142857142855,0.0,0.8571428571428571,0.08108108108108109,0.0,0.6942148760330579,0.13636363636363638,0.0,"[2, 5, 7, 8, 9, 11, 13, 14, 15, 18, 19, 20, 21, 23]",19,FW,FW,1,100,7.0,10,64,0.001,,10
CNN,0.4219219219219219,0.41190476190476194,0.4615384615384615,0.9857142857142858,0.25,0.0,0.8846153846153846,0.5,0.0,0.9324324324324325,0.3333333333333333,0.0,"[2, 5, 7, 8, 9, 11, 13, 14, 15, 18, 19, 20, 21, 23]",20,FW,FW,1,100,7.0,10,64,0.001,,10
CNN,0.030010150492078197,0.33739837398373984,0.3446969696969697,0.012195121951219513,1.0,0.0,1.0,0.03409090909090909,0.0,0.024096385542168676,0.06593406593406592,0.0,"[2, 5, 7, 8, 9, 11, 13, 14, 15, 18, 19, 20, 21, 23]",21,FW,FW,1,100,7.0,10,64,0.001,,10
CNN,0.04226044226044226,0.18888888888888888,0.024086021505376348,0.0,0.16666666666666666,0.4,0.0,0.03225806451612903,0.04,0.0,0.05405405405405405,0.07272727272727272,"[2, 5, 7, 8, 9, 11, 13, 14, 15, 18, 19, 20, 21, 23]",23,FW,FW,1,100,7.0,10,64,0.001,,10
CNN,0.4699453551912568,0.4792207792207792,0.47611940298507466,0.6727272727272727,,0.2857142857142857,0.5522388059701493,,0.4,0.6065573770491803,,0.3333333333333333,"[2, 5, 7, 8, 9, 11, 13, 14, 15, 18, 19, 20, 21, 23]",02,FW,FW,1,11,7.0,10,64,0.001,,10
CNN,0.27557544757033253,0.46935096153846156,0.3068181818181818,0.015625,,0.9230769230769231,0.25,,0.36363636363636365,0.029411764705882353,,0.5217391304347827,"[2, 5, 7, 8, 9, 11, 13, 14, 15, 18, 19, 20, 21, 23]",05,FW,FW,1,11,7.0,10,64,0.001,,10
CNN,0.3214643545279383,0.5136986301369864,0.709016393442623,0.0273972602739726,,1.0,1.0,,0.4180327868852459,0.05333333333333332,,0.5895953757225433,"[2, 5, 7, 8, 9, 11, 13, 14, 15, 18, 19, 20, 21, 23]",07,FW,FW,1,11,7.0,10,64,0.001,,10
CNN,0.34170714781401806,0.456059204440333,0.3602941176470588,0.0425531914893617,,0.8695652173913043,0.25,,0.47058823529411764,0.07272727272727272,,0.6106870229007634,"[2, 5, 7, 8, 9, 11, 13, 14, 15, 18, 19, 20, 21, 23]",08,FW,FW,1,11,7.0,10,64,0.001,,10
CNN,0.26490066225165565,0.4878048780487805,0.18181818181818182,0.0,,0.975609756097561,0.0,,0.36363636363636365,0.0,,0.5298013245033113,"[2, 5, 7, 8, 9, 11, 13, 14, 15, 18, 19, 20, 21, 23]",09,FW,FW,1,11,7.0,10,64,0.001,,10
