,Classifier,Accuracy,Precision,Recall,F1,Class0 Recall,Class1 Recall,Class0 Precision,Class1 Precision,Class0 F1,Class1 F1,Macro F1,Macro Recall,Macro Precision,TrainParticipants,TestParticipants,TrainConditions,TestConditions,Experiment
2,KNN,0.5245253164556962,0.5252279049271531,0.5260442514474772,0.5210934993100066,0.5174731182795699,0.5346153846153846,0.6140350877192983,0.4364207221350079,0.5616338439095551,0.48055315471045806,0.5210934993100066,0.5260442514474772,0.5252279049271531,[8],[7],['FW'],['FW'],3
3,DecisionTree,0.4944620253164557,0.5165789131306373,0.5161393713813068,0.4939802966466709,0.39381720430107525,0.6384615384615384,0.6091476091476091,0.4240102171136654,0.4783673469387755,0.5095932463545664,0.4939802966466709,0.5161393713813068,0.5165789131306373,[8],[7],['FW'],['FW'],3
4,MLP,0.5055379746835443,0.48844425755912196,0.4884925558312655,0.4884529587168588,0.5846774193548387,0.3923076923076923,0.5792276964047937,0.39766081871345027,0.5819397993311038,0.39496611810261373,0.4884529587168588,0.4884925558312655,0.48844425755912196,[8],[7],['FW'],['FW'],3
0,SVM,0.5141093474426808,0.5403148484063229,0.5412270735270248,0.5138337429885926,0.4314002828854314,0.6510538641686182,0.6718061674008811,0.4088235294117647,0.5254091300602929,0.5022583559168925,0.5138337429885926,0.5412270735270248,0.5403148484063229,[8],[9],['FW'],['FW'],3
1,RandomForest,0.46825396825396826,0.5857447456594578,0.552217868156839,0.44523383593151034,0.21216407355021216,0.892271662763466,0.7653061224489796,0.40618336886993606,0.33222591362126247,0.5582417582417583,0.44523383593151034,0.552217868156839,0.5857447456594578,[8],[9],['FW'],['FW'],3
2,KNN,0.5335097001763669,0.5319904181184669,0.5340621884202472,0.5255368977029249,0.5318246110325319,0.5362997658079626,0.6550522648083623,0.4089285714285714,0.5870413739266198,0.46403242147923,0.5255368977029249,0.5340621884202472,0.5319904181184669,[8],[9],['FW'],['FW'],3
3,DecisionTree,0.48677248677248675,0.5173848900799688,0.5174484661580913,0.4867661010622579,0.3932107496463932,0.6416861826697893,0.6450116009280742,0.38975817923186346,0.48857644991212645,0.48495575221238946,0.4867661010622579,0.5174484661580913,0.5173848900799688,[8],[9],['FW'],['FW'],3
4,MLP,0.4858906525573192,0.4722879585106115,0.4708303383031512,0.46921492828498146,0.5318246110325319,0.4098360655737705,0.5987261146496815,0.3458498023715415,0.5632958801498128,0.37513397642015006,0.46921492828498146,0.4708303383031512,0.4722879585106115,[8],[9],['FW'],['FW'],3
0,SVM,0.47465437788018433,0.45742732581695994,0.4553449497095906,0.45471077385971004,0.5322283609576427,0.37846153846153846,0.5885947046843177,0.32625994694960214,0.5589941972920696,0.35042735042735046,0.45471077385971004,0.4553449497095906,0.45742732581695994,[8],[11],['FW'],['FW'],3
1,RandomForest,0.5794930875576036,0.5166167664670659,0.5125796855078624,0.5016790531241399,0.7790055248618785,0.24615384615384617,0.6332335329341318,0.4,0.6985962014863749,0.3047619047619048,0.5016790531241399,0.5125796855078624,0.5166167664670659,[8],[11],['FW'],['FW'],3
