,Regressor,MSE,R2,MAE,TrainParticipants,TestParticipants,TrainConditions,TestConditions,Experiment,RandomSeed
0,RandomForest,0.0010173868552052299,0.2647772069488574,0.023160414626764637,"[2, 3, 5, 10, 11, 13, 16, 17, 18, 23]","[15, 21]",LP,LP,4,12
0,RandomForest,0.0011245619073022761,0.23684029213695834,0.024064571279289394,"[3, 5, 10, 13, 15, 17, 18, 21, 23]","[2, 11, 16]",LP,LP,4,32
0,RandomForest,0.0009153901739774679,0.14308485974140273,0.022560704959905198,"[3, 5, 10, 11, 13, 15, 16, 17, 18, 21]","[2, 23]",LP,LP,4,52
0,MLP,22.821200223063965,0.22829992051310244,3.8230671507672493,"[2, 5, 6, 9, 11, 13, 16, 17, 18, 19, 20, 24]","[10, 15]",RW,RW,5,100
0,MLP,22.42234888335006,0.28195501731032324,3.7890875093880205,"[2, 5, 9, 10, 11, 13, 15, 17, 18, 19, 20, 24]","[16, 6]",RW,RW,5,100
0,MLP,23.142302685466042,0.2590908386842081,3.848694317036468,"[5, 6, 9, 10, 13, 15, 16, 17, 18, 19, 20, 24]","[11, 2]",RW,RW,5,42
0,MLP,23.080213620833877,0.2491285990462554,3.8568440425915282,"[2, 5, 6, 9, 10, 11, 15, 16, 17, 18, 19, 20]","[13, 24]",RW,RW,5,32
0,MLP,23.70782036695848,0.2412044428609077,4.01360448314679,"[2, 5, 6, 10, 11, 13, 15, 16, 17, 19, 20, 24]","[18, 9]",RW,RW,5,52
0,MLP,22.38295738845593,0.2690004968219273,3.8275038949619287,"[2, 5, 6, 9, 10, 11, 13, 15, 18, 19, 20, 24]","[16, 17]",RW,RW,5,12
0,MLP,0.03452183151124763,0.20250269494535122,0.15151526408673455,"[3, 7, 8, 9, 10, 14, 15, 17, 21, 23, 24]","[12, 20]",RP,RP,6,12
0,MLP,0.03937333933776909,0.17268974812002247,0.1628442542283443,"[3, 7, 9, 10, 12, 14, 15, 17, 20, 23, 24]","[8, 21]",RP,RP,6,12
0,MLP,0.03724378722522225,0.1812640862457484,0.15647666316823813,"[3, 7, 8, 9, 12, 14, 15, 20, 21, 23, 24]","[10, 17]",RP,RP,6,42
0,MLP,0.03624477960154124,0.17973173840045442,0.15369581368619512,"[3, 7, 8, 9, 10, 12, 15, 17, 20, 21, 23]","[24, 14]",RP,RP,6,42
0,MLP,0.03657024551119063,0.1989762627572288,0.15327072942620035,"[3, 7, 8, 9, 10, 12, 14, 17, 21, 23, 24]","[15, 20]",RP,RP,6,42
0,MLP,0.06270708746097649,0.14055259823169208,0.17197035788758844,"[6, 7, 8, 10, 12, 20, 23, 24, 25]","[5, 3]",LW,LW,3,52
0,MLP,0.06446628006685287,0.13349033116992126,0.18063530553789775,"[3, 5, 7, 8, 10, 12, 20, 23, 24]","[25, 6]",LW,LW,3,12
0,MLP,0.06869837922011306,0.10756682427314557,0.1804601663956631,"[3, 5, 7, 8, 12, 20, 23, 24, 25]","[10, 6]",LW,LW,3,100
0,MLP,0.060831279837742974,0.15976777081745308,0.17861368558141794,"[3, 6, 7, 8, 10, 12, 20, 24, 25]","[23, 5]",LW,LW,3,100
0,MLP,0.06659593269023852,0.1663663134970721,0.17804587212994044,"[3, 6, 7, 8, 10, 12, 20, 23, 25]","[5, 24]",LW,LW,3,100
