,Classifier,Accuracy,Precision,Recall,F1,Class0 Recall,Class1 Recall,Class2 Recall,Class0 Precision,Class1 Precision,Class2 Precision,Class0 F1,Class1 F1,Class2 F1,Macro F1,Macro Recall,Macro Precision,TrainParticipants,FinetunedParticipants,TrainConditions,TestConditions,Experiment,RandomSeed
0,DecisionTree,0.7812704649639817,0.7782918399460492,0.6946985900651889,0.711972702752766,0.9372586872586872,,0.45213849287169044,0.7830645161290323,,0.7735191637630662,0.8532513181019331,,0.5706940874035991,0.711972702752766,0.6946985900651889,0.7782918399460492,"[3, 9, 14, 16, 18, 19, 24]",[6],FP,FP,1,100
0,DecisionTree,0.8341346153846154,0.7829650001957483,0.7764173322541398,0.7774327234192899,0.8732876712328768,0.782051282051282,0.6739130434782609,0.8885017421602788,0.6853932584269663,0.775,0.8808290155440415,0.7305389221556887,0.7209302325581396,0.7774327234192899,0.7764173322541398,0.7829650001957483,"[3, 6, 9, 14, 18, 19, 24]",[16],FP,FP,1,42
0,DecisionTree,0.8434065934065934,0.8334623323013416,0.8324865751310332,0.8329670329670329,0.8766519823788547,,0.7883211678832117,0.8728070175438597,,0.7941176470588235,0.8747252747252747,,0.7912087912087912,0.8329670329670329,0.8324865751310332,0.8334623323013416,"[3, 6, 14, 16, 18, 19, 24]",[9],FP,FP,1,12
0,DecisionTree,0.8306233062330624,0.6753495546598995,0.5794725054836884,0.6112095160130795,0.9436860068259386,0.3904761904761905,0.40425531914893614,0.8667711598746082,0.7068965517241379,0.4523809523809524,0.9035947712418301,0.5030674846625768,0.4269662921348315,0.6112095160130795,0.5794725054836884,0.6753495546598995,"[3, 6, 9, 16, 18, 19, 24]",[14],FP,FP,1,32
0,DecisionTree,0.7504725897920604,0.7288363578478192,0.7231873932619158,0.7256913890634821,0.8200589970501475,,0.6263157894736842,0.7965616045845272,,0.6611111111111111,0.8081395348837209,,0.6432432432432432,0.7256913890634821,0.7231873932619158,0.7288363578478192,"[6, 9, 14, 16, 18, 19, 24]",[3],FP,FP,1,52
0,DecisionTree,0.8143189755529686,0.8167366946778712,0.5773019336849124,0.6338084565279042,0.9263502454991817,0.25,0.5555555555555556,0.8323529411764706,0.875,0.7428571428571429,0.876839659178931,0.3888888888888889,0.6356968215158925,0.6338084565279042,0.5773019336849124,0.8167366946778712,"[2, 5, 8, 9, 11, 14, 15, 18, 19, 20, 21, 23]","[7, 13]",FW,FW,2,100
0,DecisionTree,0.8757142857142857,0.7080282239478071,0.44493166698718084,0.47149674222263016,0.9787059787059788,0.3023255813953488,0.053763440860215055,0.8897989575577067,0.52,0.7142857142857143,0.9321372854914197,0.38235294117647056,0.1,0.47149674222263016,0.44493166698718084,0.7080282239478071,"[2, 5, 7, 8, 9, 11, 13, 14, 15, 18, 20, 23]","[21, 19]",FW,FW,2,42
0,DecisionTree,0.7575175943698017,0.7542193469612823,0.7604583515485759,0.754818252594189,0.7422907488986784,,0.7786259541984732,0.8229548229548229,,0.6854838709677419,0.7805442964678633,,0.7290922087205147,0.754818252594189,0.7604583515485759,0.7542193469612823,"[2, 7, 9, 11, 13, 14, 15, 18, 19, 20, 21, 23]","[8, 5]",FW,FW,2,12
0,DecisionTree,0.8275391956373551,0.6943464143303008,0.6383731583400184,0.6622318694544029,0.9154929577464789,0.37777777777777777,0.6218487394957983,0.858274647887324,0.4722222222222222,0.752542372881356,0.8859609268514311,0.4197530864197531,0.6809815950920245,0.6622318694544029,0.6383731583400184,0.6943464143303008,"[7, 8, 9, 11, 13, 14, 15, 18, 19, 20, 21, 23]","[2, 5]",FW,FW,2,32
0,DecisionTree,0.9213724088634739,0.8914361960213489,0.4073931753575803,0.4435663342541005,0.9952978056426333,0.03333333333333333,0.1935483870967742,0.9243085880640466,1.0,0.75,0.9584905660377359,0.06451612903225806,0.30769230769230765,0.4435663342541005,0.4073931753575803,0.8914361960213489,"[2, 5, 7, 8, 9, 11, 14, 18, 19, 20, 21, 23]","[15, 13]",FW,FW,2,52
