,Classifier,Accuracy,Precision,Recall,F1,Class0 Recall,Class1 Recall,Class0 Precision,Class1 Precision,Class0 F1,Class1 F1,Macro F1,Macro Recall,Macro Precision,TrainParticipants,TestParticipants,TrainConditions,TestConditions,Experiment,RandomState
0,MLP,0.6109481915933529,0.5969125214408233,0.6810176125244618,0.636197440585009,0.541015625,0.6810176125244618,0.6295454545454545,0.5969125214408233,0.5819327731092437,0.636197440585009,0.6090651068471264,0.6110166187622309,0.613228987993139,"[5, 6, 7, 10, 12, 20, 23, 24, 25]","[5, 6, 7, 10, 12, 20, 23, 24, 25]",LW,LW,3,42
0,MLP,0.7317487266553481,0.7556179775280899,0.6850594227504244,0.7186108637577916,0.7784380305602716,0.6850594227504244,0.7119565217391305,0.7556179775280899,0.7437145174371452,0.7186108637577916,0.7311626905974684,0.731748726655348,0.7337872496336102,"[2, 5, 6, 9, 10, 11, 13, 15, 17, 18, 19, 24]","[2, 5, 6, 9, 10, 11, 13, 15, 17, 18, 19, 24]",RW,RW,5,42
0,MLP,0.7392586352148273,0.7553956834532374,0.7076663858466723,0.7307525010874293,0.7708508845829823,0.7076663858466723,0.7250396196513471,0.7553956834532374,0.7472437729685586,0.7307525010874293,0.7389981370279939,0.7392586352148274,0.7402176515522922,"[2, 5, 6, 9, 10, 11, 16, 17, 18, 19, 20, 24]","[2, 5, 6, 9, 10, 11, 16, 17, 18, 19, 20, 24]",RW,RW,5,42
0,MLP,0.6828621908127208,0.690959409594096,0.661660777385159,0.6759927797833936,0.7040636042402827,0.661660777385159,0.6754237288135593,0.690959409594096,0.6894463667820069,0.6759927797833936,0.6827195732827003,0.6828621908127208,0.6831915692038276,"[5, 6, 10, 11, 13, 15, 16, 17, 18, 19, 20, 24]","[5, 6, 10, 11, 13, 15, 16, 17, 18, 19, 20, 24]",RW,RW,5,42
0,MLP,0.7298001737619462,0.7415525114155251,0.7054735013032146,0.7230632235084595,0.7541268462206777,0.7054735013032146,0.7191383595691798,0.7415525114155251,0.7362171331636981,0.7230632235084595,0.7296401783360789,0.7298001737619462,0.7303454354923524,"[2, 5, 6, 9, 10, 11, 13, 15, 16, 18, 19, 20]","[2, 5, 6, 9, 10, 11, 13, 15, 16, 18, 19, 20]",RW,RW,5,42
0,MLP,0.7282184655396619,0.7390909090909091,0.7051170858629662,0.7217043941411452,0.7512998266897747,0.7051170858629662,0.7183098591549296,0.7390909090909091,0.7344345616264295,0.7217043941411452,0.7280694778837873,0.7282084562763704,0.7287003841229194,"[2, 5, 6, 9, 10, 11, 15, 16, 17, 19, 20, 24]","[2, 5, 6, 9, 10, 11, 15, 16, 17, 19, 20, 24]",RW,RW,5,42
0,MLP,0.7697160883280757,0.7093596059113301,0.9113924050632911,0.7977839335180055,0.6289308176100629,0.9113924050632911,0.8771929824561403,0.7093596059113301,0.7326007326007327,0.7977839335180055,0.7651923330593691,0.7701616113366769,0.7932762941837352,"[3, 6, 9, 14, 16, 18, 19]","[3, 6, 9, 14, 16, 18, 19]",FP,FP,2,42
0,MLP,0.6012658227848101,0.7962962962962963,0.2721518987341772,0.40566037735849053,0.930379746835443,0.2721518987341772,0.5610687022900763,0.7962962962962963,0.7,0.40566037735849053,0.5528301886792453,0.6012658227848101,0.6786824992931864,"[3, 6, 9, 14, 18, 19, 24]","[3, 6, 9, 14, 18, 19, 24]",FP,FP,2,42
0,MLP,0.634493670886076,0.6332288401253918,0.6392405063291139,0.6362204724409449,0.629746835443038,0.6392405063291139,0.6357827476038339,0.6332288401253918,0.6327503974562797,0.6362204724409449,0.6344854349486123,0.634493670886076,0.6345057938646128,"[3, 6, 9, 14, 18, 19, 24]","[3, 6, 9, 14, 18, 19, 24]",FP,FP,2,42
0,MLP,0.6253822629969419,0.6198830409356725,0.6483180428134556,0.6337817638266069,0.6024464831804281,0.6483180428134556,0.6314102564102564,0.6198830409356725,0.6165884194053208,0.6337817638266069,0.6251850916159638,0.6253822629969419,0.6256466486729644,"[3, 6, 9, 14, 16, 19, 24]","[3, 6, 9, 14, 16, 19, 24]",FP,FP,2,42
