,Regressor,MSE,R2,MAE,TrainParticipants,TestParticipants,TrainConditions,TestConditions,Experiment,RandomState
0,KNeighbors,0.01231925688747996,0.9213191717151427,0.04937150676508463,"[3, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 16, 17, 18, 19, 20, 21, 22, 23, 24]","[2, 15]","FP, LP, RP","FP, LP, RP",8,42
0,MLP,0.09459893155512485,0.40729027404823903,0.24766896245547304,"[2, 3, 5, 6, 7, 8, 10, 11, 12, 13, 14, 15, 16, 18, 19, 20, 21, 22, 23, 24]","[9, 17]","FP, LP, RP","FP, LP, RP",8,42
0,MLP,0.08673871174873346,0.45458084125401743,0.234377920601056,"[2, 3, 5, 6, 7, 8, 9, 10, 12, 13, 14, 15, 16, 17, 18, 19, 21, 22, 23, 24]","[11, 20]","FP, LP, RP","FP, LP, RP",8,42
0,MLP,0.11109739004618845,0.3038458955319089,0.27108795461439406,"[2, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 24]","[3, 23]","FP, LP, RP","FP, LP, RP",8,42
0,RandomForest,0.09868965633151541,0.38159474947911365,0.24512455235615258,"[2, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 24]","[3, 23]","FP, LP, RP","FP, LP, RP",8,42
0,RandomForest,0.09895827308610504,0.37466205052078794,0.24513021012882413,"[2, 3, 5, 6, 7, 9, 10, 11, 12, 13, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24]","[14, 8]","FP, LP, RP","FP, LP, RP",8,42
0,RandomForest,0.10366961795469896,0.3604424728757857,0.2551799431335442,"[3, 5, 6, 7, 8, 9, 10, 11, 12, 13, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24]","[2, 14]","FP, LP, RP","FP, LP, RP",8,42
0,RandomForest,0.09203586496755929,0.42605545299190506,0.23679498709567992,"[2, 3, 5, 6, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24]","[8, 7]","FP, LP, RP","FP, LP, RP",8,42
0,SVM,0.0772356610852373,0.5183509544886409,0.20540536864334116,"[2, 3, 5, 6, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24]","[8, 7]","FP, LP, RP","FP, LP, RP",8,42
0,SVM,0.07471502289405206,0.5301866477956338,0.20237421226849425,"[2, 3, 5, 6, 7, 8, 9, 10, 11, 13, 14, 15, 16, 17, 18, 19, 21, 22, 23, 24]","[12, 20]","FP, LP, RP","FP, LP, RP",8,42
0,MLP,23.706708405609522,0.22969269139726345,3.8785297633691487,"[2, 5, 6, 9, 11, 13, 15, 16, 17, 18, 19, 20]","[10, 24]",RW,RW,5,42
0,MLP,24.97390640546014,0.2210603391051884,4.075988422103928,"[2, 5, 9, 10, 11, 13, 15, 17, 18, 19, 20, 24]","[16, 6]",RW,RW,5,42
0,MLP,23.706708405609522,0.22969269139726345,3.8785297633691487,"[2, 5, 6, 9, 10, 11, 13, 15, 16, 18, 19, 20]","[17, 24]",RW,RW,5,42
