,Regressor,MSE,R2,MAE,TrainParticipants,TestParticipants,TrainConditions,TestConditions,Experiment,RandomState
0,KNeighbors,0.005613597474323464,0.42459372264641937,0.04555045695686884,"[3, 6, 9, 14, 16, 18, 19]",[24],FP,FP,2,42
0,KNeighbors,0.005577344386553912,0.41689499806958863,0.04535626730879933,"[3, 6, 9, 14, 16, 18, 24]",[19],FP,FP,2,42
0,SVM,0.008876502416731198,0.13710760534644784,0.0802295046236232,"[3, 6, 9, 16, 18, 19, 24]",[14],FP,FP,2,42
0,SVM,0.008500900443357318,0.10710668670401968,0.07806366918527037,"[3, 6, 9, 14, 18, 19, 24]",[16],FP,FP,2,42
0,SVM,0.008452361184877034,0.09854813334794366,0.0782377095968166,"[3, 6, 9, 14, 16, 19, 24]",[18],FP,FP,2,42
0,SVM,0.008396578888830426,0.13933191273037382,0.07842654865905073,"[3, 6, 9, 14, 16, 18, 19]",[24],FP,FP,2,42
0,SVM,0.008958658844187116,0.12900130195611237,0.08084042272497899,"[6, 9, 14, 16, 18, 19, 24]",[3],FP,FP,2,42
0,SVM,0.023305709100256766,0.4880109822888341,0.11698891345180093,"[3, 7, 8, 9, 10, 12, 14, 15, 17, 20, 24]","[23, 21]",RP,RP,6,42
0,SVM,0.023273004325250226,0.49910489068373365,0.1171704429252242,"[3, 8, 10, 12, 14, 15, 17, 20, 21, 23, 24]","[9, 7]",RP,RP,6,42
0,SVM,0.032679989105829935,0.4024029349476037,0.14463006676507878,"[2, 7, 8, 9, 11, 13, 14, 15, 18, 19, 20, 23]","[5, 21]",FW,FW,1,42
0,SVM,0.023126041139487234,0.5043377279344663,0.1169771424659715,"[3, 7, 9, 10, 14, 15, 17, 20, 21, 23, 24]","[12, 8]",RP,RP,6,42
0,SVM,0.034814898472093264,0.36026314906640466,0.14850129481161145,"[2, 5, 8, 9, 11, 13, 14, 15, 18, 19, 20, 21]","[23, 7]",FW,FW,1,42
0,SVM,0.034814898472093264,0.36026314906640466,0.14850129481161145,"[2, 5, 8, 9, 11, 13, 14, 15, 18, 20, 21, 23]","[19, 7]",FW,FW,1,42
0,SVM,0.032679989105829935,0.4024029349476037,0.14463006676507878,"[2, 5, 7, 8, 9, 11, 13, 14, 15, 18, 19, 20]","[23, 21]",FW,FW,1,42
