,Classifier,Accuracy,Precision,Recall,F1,Class0 Recall,Class1 Recall,Class2 Recall,Class0 Precision,Class1 Precision,Class2 Precision,Class0 F1,Class1 F1,Class2 F1,Macro F1,Macro Recall,Macro Precision,TrainParticipants,FinetunedParticipants,TrainConditions,TestConditions,Experiment,RandomState
0,MLP,0.372972972972973,0.3667698174543636,0.3721135201833245,0.364644858397698,0.21311475409836064,0.46774193548387094,0.43548387096774194,0.3023255813953488,0.3625,0.43548387096774194,0.24999999999999994,0.40845070422535207,0.43548387096774194,0.364644858397698,0.3721135201833245,0.3667698174543636,"[2, 5, 6, 9, 10, 11, 15, 16, 17, 19, 20, 24]","[18, 13]",RW,RW,5,42
0,MLP,0.40816326530612246,0.40509259259259256,0.40686274509803927,0.4057411674347158,0.4375,0.3125,0.47058823529411764,0.4375,0.3333333333333333,0.4444444444444444,0.4375,0.3225806451612903,0.45714285714285713,0.4057411674347158,0.40686274509803927,0.40509259259259256,"[3, 6, 9, 14, 16, 18, 19]",[24],FP,FP,2,42
0,MLP,0.5609756097560976,0.5318181818181817,0.5586080586080585,0.5326797385620915,0.46153846153846156,0.9285714285714286,0.2857142857142857,0.5454545454545454,0.65,0.4,0.4999999999999999,0.7647058823529412,0.3333333333333333,0.5326797385620915,0.5586080586080585,0.5318181818181817,"[3, 6, 9, 14, 18, 19, 24]",[16],FP,FP,2,42
0,MLP,0.6595744680851063,0.6537878787878787,0.6597222222222222,0.6471525288729589,0.6666666666666666,0.4375,0.875,0.625,0.6363636363636364,0.7,0.6451612903225806,0.5185185185185185,0.7777777777777777,0.6471525288729589,0.6597222222222222,0.6537878787878787,"[3, 6, 9, 16, 18, 19, 24]",[14],FP,FP,2,42
0,MLP,0.5925925925925926,0.6009259259259259,0.5925925925925927,0.5956885678247907,0.5555555555555556,0.7777777777777778,0.4444444444444444,0.625,0.7777777777777778,0.4,0.5882352941176471,0.7777777777777778,0.4210526315789474,0.5956885678247907,0.5925925925925927,0.6009259259259259,"[3, 6, 9, 14, 16, 19, 24]",[18],FP,FP,2,42
0,MLP,0.3888888888888889,0.37210338680926913,0.3888888888888889,0.37251374312843577,0.4166666666666667,0.16666666666666666,0.5833333333333334,0.45454545454545453,0.25,0.4117647058823529,0.43478260869565216,0.2,0.4827586206896552,0.37251374312843577,0.3888888888888889,0.37210338680926913,"[3, 6, 9, 14, 16, 18, 24]",[19],FP,FP,2,42
0,MLP,0.6818181818181818,0.701058201058201,0.6845238095238096,0.6845238095238096,0.7142857142857143,0.7142857142857143,0.625,0.5555555555555556,0.7142857142857143,0.8333333333333334,0.6250000000000001,0.7142857142857143,0.7142857142857143,0.6845238095238096,0.6845238095238096,0.701058201058201,"[2, 3, 5, 10, 11, 13, 16, 17, 18, 23]","[21, 15]",LP,LP,4,42
0,MLP,0.36363636363636365,0.3205128205128205,0.375,0.3118881118881119,0.14285714285714285,0.8571428571428571,0.125,0.16666666666666666,0.46153846153846156,0.3333333333333333,0.15384615384615383,0.6,0.18181818181818182,0.3118881118881119,0.375,0.3205128205128205,"[2, 3, 5, 10, 13, 16, 17, 18, 21, 23]","[11, 15]",LP,LP,4,42
0,MLP,0.4,0.4444444444444444,0.4444444444444444,0.3333333333333333,1.0,0.3333333333333333,0.0,0.3333333333333333,1.0,0.0,0.5,0.5,0.0,0.3333333333333333,0.4444444444444444,0.4444444444444444,"[2, 3, 5, 10, 11, 13, 15, 16, 17, 21]","[18, 23]",LP,LP,4,42
0,MLP,0.3333333333333333,0.33240740740740743,0.3333333333333333,0.33207201009058596,0.3333333333333333,0.4444444444444444,0.2222222222222222,0.375,0.4,0.2222222222222222,0.35294117647058826,0.4210526315789474,0.2222222222222222,0.33207201009058596,0.3333333333333333,0.33240740740740743,"[2, 5, 10, 11, 13, 15, 17, 18, 21, 23]","[16, 3]",LP,LP,4,42
